OldInternal,NewInternal,Kind
be/t,l1r/be/S_CharAmount,TOP_LEVEL
be/u,l1r/be/S_CharCreateStatus,TOP_LEVEL
be/v,l1r/be/S_CharEvent,TOP_LEVEL
be/v$1,l1r/be/S_CharEvent$1,ANONYMOUS
be/w,l1r/be/S_CharList,TOP_LEVEL
be/x,l1r/be/S_CharReset,TOP_LEVEL
be/y,l1r/be/S_CharTitle,TOP_LEVEL
be/z,l1r/be/S_CharVisualUpdate,TOP_LEVEL
bf/a,l1r/bf/L1SkillExecutor,TOP_LEVEL
bf/aa,l1r/bf/S_026,TOP_LEVEL
bf/ab,l1r/bf/S_027,TOP_LEVEL
bf/ac,l1r/bf/S_028,TOP_LEVEL
bf/ad,l1r/bf/S_029,TOP_LEVEL
bf/ae,l1r/bf/S_030,TOP_LEVEL
bf/af,l1r/bf/S_031,TOP_LEVEL
bf/ag,l1r/bf/S_032,TOP_LEVEL
bf/ah,l1r/bf/S_033,TOP_LEVEL
bf/ai,l1r/bf/S_034,TOP_LEVEL
bf/aj,l1r/bf/S_035,TOP_LEVEL
bf/ak,l1r/bf/S_036,TOP_LEVEL
bf/al,l1r/bf/S_037,TOP_LEVEL
bf/am,l1r/bf/S_038,TOP_LEVEL
bf/an,l1r/bf/S_039,TOP_LEVEL
bf/ao,l1r/bf/S_040,TOP_LEVEL
bf/ap,l1r/bf/S_041,TOP_LEVEL
bf/aq,l1r/bf/S_042,TOP_LEVEL
bf/ar,l1r/bf/S_043,TOP_LEVEL
bf/as,l1r/bf/S_044,TOP_LEVEL
bf/at,l1r/bf/S_045,TOP_LEVEL
bf/au,l1r/bf/S_046,TOP_LEVEL
bf/av,l1r/bf/S_047,TOP_LEVEL
bf/aw,l1r/bf/S_048,TOP_LEVEL
bf/ax,l1r/bf/S_049,TOP_LEVEL
bf/ay,l1r/bf/S_050,TOP_LEVEL
bf/az,l1r/bf/S_051,TOP_LEVEL
bf/b,l1r/bf/S_000,TOP_LEVEL
bf/ba,l1r/bf/S_052,TOP_LEVEL
bf/bb,l1r/bf/S_053,TOP_LEVEL
bf/bc,l1r/bf/S_054,TOP_LEVEL
bf/bd,l1r/bf/S_055,TOP_LEVEL
bf/be,l1r/bf/S_056,TOP_LEVEL
bf/bf,l1r/bf/S_057,TOP_LEVEL
bf/bg,l1r/bf/S_058,TOP_LEVEL
bf/bh,l1r/bf/S_059,TOP_LEVEL
bf/bi,l1r/bf/S_060,TOP_LEVEL
bf/bj,l1r/bf/S_061,TOP_LEVEL
bf/bk,l1r/bf/S_062,TOP_LEVEL
bf/bl,l1r/bf/S_063,TOP_LEVEL
bf/bm,l1r/bf/S_064,TOP_LEVEL
bf/bn,l1r/bf/S_065,TOP_LEVEL
bf/bo,l1r/bf/S_066,TOP_LEVEL
bf/bp,l1r/bf/S_067,TOP_LEVEL
bf/bq,l1r/bf/S_068,TOP_LEVEL
bf/br,l1r/bf/S_069,TOP_LEVEL
bf/bs,l1r/bf/S_070,TOP_LEVEL
bf/bt,l1r/bf/S_071,TOP_LEVEL
bf/bu,l1r/bf/S_072,TOP_LEVEL
bf/bv,l1r/bf/S_073,TOP_LEVEL
bf/bw,l1r/bf/S_074,TOP_LEVEL
bf/bx,l1r/bf/S_075,TOP_LEVEL
bf/by,l1r/bf/S_076,TOP_LEVEL
bf/bz,l1r/bf/S_077,TOP_LEVEL
bf/c,l1r/bf/S_001,TOP_LEVEL
bf/ca,l1r/bf/S_078,TOP_LEVEL
bf/cb,l1r/bf/S_079,TOP_LEVEL
bf/cc,l1r/bf/S_080,TOP_LEVEL
bf/cd,l1r/bf/S_087,TOP_LEVEL
bf/ce,l1r/bf/S_088,TOP_LEVEL
bf/cf,l1r/bf/S_089,TOP_LEVEL
bf/cg,l1r/bf/S_090,TOP_LEVEL
bf/ch,l1r/bf/S_091,TOP_LEVEL
bf/ci,l1r/bf/S_092,TOP_LEVEL
bf/cj,l1r/bf/S_097,TOP_LEVEL
bf/ck,l1r/bf/S_098,TOP_LEVEL
bf/cl,l1r/bf/S_099,TOP_LEVEL
bf/cm,l1r/bf/S_100,TOP_LEVEL
bf/cn,l1r/bf/S_101,TOP_LEVEL
bf/co,l1r/bf/S_102,TOP_LEVEL
bf/cp,l1r/bf/S_103,TOP_LEVEL
bf/cq,l1r/bf/S_104,TOP_LEVEL
bf/cr,l1r/bf/S_105,TOP_LEVEL
bf/cs,l1r/bf/S_106,TOP_LEVEL
bf/ct,l1r/bf/S_107,TOP_LEVEL
bf/cu,l1r/bf/S_108,TOP_LEVEL
bf/cv,l1r/bf/S_109,TOP_LEVEL
bf/cw,l1r/bf/S_110,TOP_LEVEL
bf/cx,l1r/bf/S_111,TOP_LEVEL
bf/cy,l1r/bf/S_112,TOP_LEVEL
bf/cz,l1r/bf/S_113,TOP_LEVEL
bf/d,l1r/bf/S_002,TOP_LEVEL
bf/da,l1r/bf/S_114,TOP_LEVEL
bf/db,l1r/bf/S_115,TOP_LEVEL
bf/dc,l1r/bf/S_116,TOP_LEVEL
bf/dd,l1r/bf/S_117,TOP_LEVEL
bf/de,l1r/bf/S_118,TOP_LEVEL
bf/df,l1r/bf/S_119,TOP_LEVEL
bf/dg,l1r/bf/S_120,TOP_LEVEL
bf/dh,l1r/bf/S_121,TOP_LEVEL
bf/di,l1r/bf/S_122,TOP_LEVEL
bf/dj,l1r/bf/S_129,TOP_LEVEL
bf/dk,l1r/bf/S_130,TOP_LEVEL
bf/dl,l1r/bf/S_131,TOP_LEVEL
bf/dm,l1r/bf/S_132,TOP_LEVEL
bf/dn,l1r/bf/S_133,TOP_LEVEL
bf/do,l1r/bf/S_134,TOP_LEVEL
bf/dp,l1r/bf/S_135,TOP_LEVEL
bf/dq,l1r/bf/S_137,TOP_LEVEL
bf/dr,l1r/bf/S_138,TOP_LEVEL
bf/ds,l1r/bf/S_145,TOP_LEVEL
bf/dt,l1r/bf/S_146,TOP_LEVEL
bf/du,l1r/bf/S_147,TOP_LEVEL
bf/dv,l1r/bf/S_148,TOP_LEVEL
bf/dw,l1r/bf/S_149,TOP_LEVEL
bf/dx,l1r/bf/S_150,TOP_LEVEL
bf/dy,l1r/bf/S_151,TOP_LEVEL
bf/dz,l1r/bf/S_152,TOP_LEVEL
bf/e,l1r/bf/S_003,TOP_LEVEL
bf/ea,l1r/bf/S_153,TOP_LEVEL
bf/eb,l1r/bf/S_154,TOP_LEVEL
bf/ec,l1r/bf/S_155,TOP_LEVEL
bf/ed,l1r/bf/S_156,TOP_LEVEL
bf/ee,l1r/bf/S_157,TOP_LEVEL
bf/ef,l1r/bf/S_158,TOP_LEVEL
bf/eg,l1r/bf/S_159,TOP_LEVEL
bf/eh,l1r/bf/S_160,TOP_LEVEL
bf/ei,l1r/bf/S_161,TOP_LEVEL
bf/ej,l1r/bf/S_162,TOP_LEVEL
bf/ek,l1r/bf/S_163,TOP_LEVEL
bf/el,l1r/bf/S_164,TOP_LEVEL
bf/em,l1r/bf/S_165,TOP_LEVEL
bf/en,l1r/bf/S_166,TOP_LEVEL
bf/eo,l1r/bf/S_167,TOP_LEVEL
bf/ep,l1r/bf/S_168,TOP_LEVEL
bf/eq,l1r/bf/S_169,TOP_LEVEL
bf/er,l1r/bf/S_170,TOP_LEVEL
bf/es,l1r/bf/S_171,TOP_LEVEL
bf/et,l1r/bf/S_172,TOP_LEVEL
bf/eu,l1r/bf/S_173,TOP_LEVEL
bf/ev,l1r/bf/S_174,TOP_LEVEL
bf/ew,l1r/bf/S_175,TOP_LEVEL
bf/ex,l1r/bf/S_176,TOP_LEVEL
bf/ey,l1r/bf/S_181,TOP_LEVEL
bf/ez,l1r/bf/S_182,TOP_LEVEL
bf/f,l1r/bf/S_004,TOP_LEVEL
bf/fa,l1r/bf/S_183,TOP_LEVEL
bf/fb,l1r/bf/S_184,TOP_LEVEL
bf/fc,l1r/bf/S_185,TOP_LEVEL
bf/fd,l1r/bf/S_186,TOP_LEVEL
bf/fe,l1r/bf/S_187,TOP_LEVEL
bf/ff,l1r/bf/S_188,TOP_LEVEL
bf/fg,l1r/bf/S_189,TOP_LEVEL
bf/fh,l1r/bf/S_190,TOP_LEVEL
bf/fi,l1r/bf/S_191,TOP_LEVEL
bf/fj,l1r/bf/S_192,TOP_LEVEL
bf/fk,l1r/bf/S_193,TOP_LEVEL
bf/fl,l1r/bf/S_194,TOP_LEVEL
bf/fm,l1r/bf/S_195,TOP_LEVEL
bf/fn,l1r/bf/S_196,TOP_LEVEL
bf/fo,l1r/bf/S_201,TOP_LEVEL
bf/fp,l1r/bf/S_202,TOP_LEVEL
bf/fq,l1r/bf/S_203,TOP_LEVEL
bf/fr,l1r/bf/S_204,TOP_LEVEL
bf/fs,l1r/bf/S_205,TOP_LEVEL
bf/ft,l1r/bf/S_206,TOP_LEVEL
bf/fu,l1r/bf/S_207,TOP_LEVEL
bf/fv,l1r/bf/S_208,TOP_LEVEL
bf/fw,l1r/bf/S_209,TOP_LEVEL
bf/fx,l1r/bf/S_210,TOP_LEVEL
bf/fy,l1r/bf/S_211,TOP_LEVEL
bf/fz,l1r/bf/S_212,TOP_LEVEL
bf/g,l1r/bf/S_005,TOP_LEVEL
bf/ga,l1r/bf/S_213,TOP_LEVEL
bf/gb,l1r/bf/S_214,TOP_LEVEL
bf/gc,l1r/bf/S_215,TOP_LEVEL
bf/gd,l1r/bf/S_216,TOP_LEVEL
bf/ge,l1r/bf/S_217,TOP_LEVEL
bf/gf,l1r/bf/S_218,TOP_LEVEL
bf/gg,l1r/bf/S_219,TOP_LEVEL
bf/gh,l1r/bf/S_220,TOP_LEVEL
bf/gi,l1r/bf/S_222,TOP_LEVEL
bf/gj,l1r/bf/S_225,TOP_LEVEL
bf/gk,l1r/bf/S_226,TOP_LEVEL
bf/gl,l1r/bf/S_228,TOP_LEVEL
bf/gm,l1r/bf/S_229,TOP_LEVEL
bf/gm$a,l1r/bf/S_229$L1R_a,NAMED_INNER
bf/gn,l1r/bf/S_230,TOP_LEVEL
bf/go,l1r/bf/S_231,TOP_LEVEL
bf/gp,l1r/bf/S_233,TOP_LEVEL
bf/h,l1r/bf/S_006,TOP_LEVEL
bf/i,l1r/bf/S_007,TOP_LEVEL
bf/j,l1r/bf/S_008,TOP_LEVEL
bf/k,l1r/bf/S_009,TOP_LEVEL
bf/l,l1r/bf/S_010,TOP_LEVEL
bf/m,l1r/bf/S_011,TOP_LEVEL
bf/n,l1r/bf/S_012,TOP_LEVEL
bf/o,l1r/bf/S_013,TOP_LEVEL
bf/p,l1r/bf/S_014,TOP_LEVEL
bf/q,l1r/bf/S_015,TOP_LEVEL
bf/r,l1r/bf/S_016,TOP_LEVEL
bf/s,l1r/bf/S_017,TOP_LEVEL
bf/t,l1r/bf/S_018,TOP_LEVEL
bf/u,l1r/bf/S_019,TOP_LEVEL
bf/v,l1r/bf/S_020,TOP_LEVEL
bf/w,l1r/bf/S_021,TOP_LEVEL
bf/x,l1r/bf/S_022,TOP_LEVEL
bf/y,l1r/bf/S_023,TOP_LEVEL
bf/z,l1r/bf/S_025,TOP_LEVEL
bg/a,l1r/bg/L1SkillDelay,TOP_LEVEL
bg/a$a,l1r/bg/L1SkillDelay$L1R_a,NAMED_INNER
bg/b,l1r/bg/L1SkillId,TOP_LEVEL
bg/c,l1r/bg/L1SkillTimer__obf_c,TOP_LEVEL
bg/d,l1r/bg/L1SkillTimer__obf_d,TOP_LEVEL
bg/e,l1r/bg/L1SkillTimerCreator,TOP_LEVEL
bg/f,l1r/bg/L1SkillTimer__obf_f,TOP_LEVEL
bh/a,l1r/bh/L1Account,TOP_LEVEL
bh/b,l1r/bh/L1BoardTopic,TOP_LEVEL
bh/c,l1r/bh/L1BookMark,TOP_LEVEL
bh/d,l1r/bh/L1Castle,TOP_LEVEL
bh/d$a,l1r/bh/L1Castle$L1R_a,NAMED_INNER
bh/e,l1r/bh/L1Command,TOP_LEVEL
bh/f,l1r/bh/L1DoorGfx,TOP_LEVEL
bh/g,l1r/bh/L1DoorSpawn,TOP_LEVEL
bh/h,l1r/bh/L1Drop,TOP_LEVEL
bh/i,l1r/bh/L1House,TOP_LEVEL
bh/j,l1r/bh/L1Item,TOP_LEVEL
bh/k,l1r/bh/L1Mail,TOP_LEVEL
bh/l,l1r/bh/L1Npc,TOP_LEVEL
bh/m,l1r/bh/L1NpcChat,TOP_LEVEL
bh/n,l1r/bh/L1Pet,TOP_LEVEL
bh/o,l1r/bh/L1PetItem,TOP_LEVEL
bh/p,l1r/bh/L1PetType,TOP_LEVEL
bh/q,l1r/bh/L1PrivateShopBuyList,TOP_LEVEL
bh/r,l1r/bh/L1PrivateShopSellList,TOP_LEVEL
bh/s,l1r/bh/L1QuestNew,TOP_LEVEL
bh/t,l1r/bh/L1Shop,TOP_LEVEL
bh/u,l1r/bh/L1ShopItem,TOP_LEVEL
bh/v,l1r/bh/L1Skills,TOP_LEVEL
bh/w,l1r/bh/L1Town,TOP_LEVEL
bi/a,l1r/bi/BinaryOutputStream,TOP_LEVEL
bi/b,l1r/bi/CalcExp,TOP_LEVEL
bi/c,l1r/bi/CalcInitHpMp,TOP_LEVEL
bi/d,l1r/bi/CalcStat,TOP_LEVEL
bi/e,l1r/bi/GeneralThreadPool,TOP_LEVEL
bi/e$a,l1r/bi/GeneralThreadPool$L1R_a,NAMED_INNER
bi/f,l1r/bi/IntRange,TOP_LEVEL
bi/g,l1r/bi/LineageUtil,TOP_LEVEL
bi/h,l1r/bi/Point,TOP_LEVEL
bi/i,l1r/bi/Random,TOP_LEVEL
bi/j,l1r/bi/SQLUtil,TOP_LEVEL
bi/k,l1r/bi/TimePeriod,TOP_LEVEL
bj/a,l1r/bj/Cipher,TOP_LEVEL
bj/b,l1r/bj/CipherClient,TOP_LEVEL
bj/c,l1r/bj/CipherServer,TOP_LEVEL
bj/d,l1r/bj/ClientThread,TOP_LEVEL
bj/d$a,l1r/bj/ClientThread$L1R_a,NAMED_INNER
bj/e,l1r/bj/Opcodes,TOP_LEVEL
l1j/server/Server,l1r/l1j/server/Server,TOP_LEVEL
l1j/server/a,l1r/l1j/server/Config,TOP_LEVEL
l1j/server/b,l1r/l1j/server/DatabaseFactory,TOP_LEVEL
